"today","MCC_ID","mcc.q4","mcc.q5","mcc.secC_group.q6","mcc.secC_group.q6a","mcc.secC_group.q8","mcc.secC_group.other_q8","mcc.secC_group.q9","mcc.secC_group.q10","mcc.assets.q14a","mcc.assets.q14b","mcc.assets.q14c","mcc.assets.q14d","mcc.assets.q14e","mcc.assets.q14f","mcc.assets.q14g","mcc.assets.q14h","mcc.assets.q14i","mcc.assets.q14j","mcc.assets.q14k","mcc.assets.q14l","mcc.assets.q14m","mcc.assets.q14n","mcc.q15","mcc.q16a","mcc.q16b","mcc.q16c","mcc.q16cc","mcc.q16d","mcc.q16e","mcc.services.q17","mcc.services.q18","mcc.services.q19","mcc.services.q20","mcc.services.q21","mcc.services.q22","mcc.Q23","mcc.Q24","mcc.day.q25a","mcc.day.q25b","mcc.day.q25c","mcc.day.q25x1","mcc.day.q25x2","mcc.day.q25x3","mcc.qual.q26","mcc.qual.q27","mcc.qual.q28","mcc.q29","mcc.q31","mcc.q31a","mcc.q31b","mcc.q31c","mcc.q31d","mcc.q32.1","mcc.q32.2","mcc.q32.3","mcc.q32.4","mcc.q32.5","mcc.q33.1","mcc.q33.2","mcc.q33.3","mcc.q33.4","mcc.q33.5","mcc.q33.6","mcc.q34.1","mcc.q34.2","mcc.q34.3","mcc.q34.4","mcc.q34.5","mcc.q34.6","mcc.q35","mcc.q36","mcc.q37","mcc.q38.1","mcc.q38.2","mcc.q38.3","mcc.q38.4","mcc.q38.96","mcc.q39a","mcc.q39b","mcc.q39c","mcc.q39d","mcc.q40","mcc.q44","mcc.q46","mcc.q46b","mcc.q47","mcc.q48","mcc.q49","mcc.q50","mcc.q51.1","mcc.q51.2","mcc.q51.3","mcc.q51.4","mcc.q51.96","mcc.q52a","mcc.q52b","mcc.q52c","mcc.q52d","mcc.q53","mcc.q54","mcc.q55","mcc.q56","mcc.q57","mcc.q58","mcc.q59","mcc.q60","mcc.q61.1","mcc.q61.2","mcc.q61.3","mcc.q61.4","mcc.q61.96","mcc.q62a","mcc.q62b","mcc.q62c","mcc.q62d","mcc.q63","mcc.q64","mcc.q65","mcc.q66","mcc.q67","mcc.q68","mcc.q69","mcc.q70","mcc.q71.1","mcc.q71.2","mcc.q71.3","mcc.q71.4","mcc.q71.96","mcc.q72a","mcc.q72b","mcc.q72c","mcc.q72d","mcc.q73","mcc.q74","mcc.q75","mcc.q76","mcc.q77","mcc.q78","mcc.q79","mcc.q80","mcc.q81.1","mcc.q81.2","mcc.q81.3","mcc.q81.4","mcc.q81.96","mcc.q82a","mcc.q82b","mcc.q82c","mcc.q82d","mcc.q83","mcc.q84","mcc.q85","mcc.q86","mcc.q87"
"2022-12-05","MCC_146","Female",6,"Manager",6,2,"n/a","96","44",0,1,0,0,0,3,2,1,3,2,0,0,4,1,3,2,"n/a","n/a","n/a","n/a","n/a",2,2,2,2,2,2,80,70,90,900,5000,1,1,3,5200,7000,6000,1,"1","10",3,1,"1","False","True","False","False","False","False","False","False","False","False","True","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","5000","1000","1","False","True","False","False","False","n/a","n/a","2","5","2","2","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2022-12-05","MCC_278","Male",6,"Manager",3,1,"n/a","n/a","n/a",0,0,0,0,0,1,1,3,10,2,0,0,3,0,3,2,"n/a","n/a","n/a","n/a","n/a",3,3,3,3,2,1,20,18,20,700,1700,1,1,3,3000,1800,1800,1,"2","70",2,2,"2","False","True","False","False","False","True","False","False","False","False","False","True","False","False","False","False","False","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1700","900","1","False","True","False","False","False","n/a","n/a","2","999","2","1","2","75","1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2022-12-05","MCC_344","Female",6,"Manager",4,2,"n/a","53","3",0,2,0,0,0,1,1,1,5,1,0,0,4,0,3,2,"n/a","n/a","n/a","n/a","n/a",3,3,3,3,2,3,56,28,56,850,1400,1,1,3,3000,1400,700,1,"2","50",3,1,"1","False","True","False","False","False","False","False","False","False","False","True","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1400","850","1","False","True","True","False","False","n/a","n/a","2","5","3","1","2","50","1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2022-12-05","MCC_212","Male",5,"Manager",15,3,"n/a","n/a","n/a",0,0,0,0,0,1,1,1,2,1,0,0,1,0,3,2,"n/a","n/a","n/a","n/a","n/a",1,3,3,3,3,3,30,15,30,800,1300,1,1,3,2650,800,1300,1,"2","50",2,1,"1","False","False","True","False","False","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1300","1170000","1","False","False","True","False","True","n/a","n/a","n/a","n/a","1","1","2","50","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2022-12-05","MCC_20","Male",6,"Manager",6,3,"n/a","n/a","n/a",0,0,0,0,0,1,2,1,1,0,0,0,1,1,2,2,"n/a","n/a","n/a","n/a","n/a",1,3,3,1,3,3,40,30,40,800,4000,1,2,3,6250,2000,4000,2,"n/a","n/a",3,98,"n/a","False","True","False","False","False","True","False","False","True","False","True","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","326","900","1","False","True","True","False","False","n/a","n/a","2","3.5","3","2","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2022-12-05","MCC_14","Male",4,"Manager",5,2,"n/a","120","60",0,1,0,0,0,1,2,2,0,0,0,0,4,1,2,2,"n/a","n/a","n/a","n/a","n/a",1,1,3,3,1,3,180,120,180,800,4000,1,1,3,3200,3200,4500,2,"n/a","n/a",2,2,"2","False","False","True","False","False","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","4500","4050000","1","False","False","True","False","False","n/a","n/a","n/a","n/a","1","2","n/a","n/a","1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2022-12-06","MCC_151","Male",5,"Manager",15,2,"n/a","58","4",0,0,0,0,0,0,1,2,50,1,0,0,4,0,1,2,"n/a","n/a","n/a","n/a","n/a",2,2,3,2,1,3,57,40,57,750,1050,1,1,3,3265,700,1050,2,"n/a","n/a",4,2,"2","False","False","True","False","False","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","1050","870","1","False","False","True","False","False","n/a","n/a","n/a","n/a","1","2","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2022-12-06","MCC_217","Male",6,"Manager",4,1,"n/a","n/a","n/a",0,0,0,0,0,1,1,3,59,2,0,0,2,2,1,2,"n/a","n/a","n/a","n/a","n/a",3,3,1,1,1,1,21,16,21,725,2900,1,1,3,5300,1200,3000,1,"2","100",4,2,"2","False","True","False","False","False","True","False","False","False","False","False","False","False","False","False","False","True","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2900","700","1","False","False","True","True","False","n/a","n/a","n/a","n/a","3","2","n/a","n/a","1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2022-12-06","MCC_283","Male",6,"Manager",6,2,"n/a","47","5",0,0,0,0,0,1,1,2,8,1,0,0,3,6,2,2,"n/a","n/a","n/a","n/a","n/a",2,2,3,2,3,2,47,45,47,700,3500,1,1,3,5300,2500,3500,1,"1","30000",3,2,"2","False","False","True","False","False","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","3500","850","1","False","False","True","True","False","n/a","n/a","n/a","n/a","3","2","n/a","n/a","2","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"2022-12-07","MCC_349","Male",5,"Manager",6,1,"n/a","n/a","n/a",0,0,0,0,0,1,1,2,0,2,0,0,1,2,3,2,"n/a","n/a","n/a","n/a","n/a",3,3,3,3,3,3,3,2,3,800,2800,1,1,3,3600,500,2800,2,"n/a","n/a",1,2,"2","False","True","False","False","False","False","False","False","False","False","True","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","2800","800","1","False","False","True","True","False","n/a","n/a","n/a","n/a","2","2","n/a","n/a","1","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
