"farmer_ID","trader_ID","MCC_ID","today","district","farmer.tot_prod","farmer.tot_sold","farmer.tot_sold_trader","farmer.trader_link","farmer.rejected_week","farmer.rejected_month","farmer.bett_prc","farmer.used_bran","farmer.used_residu","farmer.used_lick","farmer.used_cgrazing","treat","q_sold_1","q_sold_2","q_sold_3","q_sold_4","q_sold_5","q_sold_6","checked_1","checked_2","checked_3","checked_4","checked_5","checked_6","checked_how_1","checked_how_2","checked_how_3","checked_how_4","checked_how_5","checked_how_6","p_sold_1","p_sold_2","p_sold_3","p_sold_4","p_sold_5","p_sold_6"
"F_410","T_006","MCC_019","2025-12-03","Kiruhura",23,10,10,4,0,0,2,2,2,1,2,1,9,10,8,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,900,900,900,NA,NA,NA
"F_024","T_006","MCC_019","2025-12-03","Kiruhura",65,50,50,4,0,0,2,2,2,1,2,1,50,50,50,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,1000,1000,1000,NA,NA,NA
"F_147","T_006","MCC_019","2025-12-03","Kiruhura",350,315,15,5,0,0,2,2,2,1,1,1,15,15,15,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,850,850,NA,NA,NA
"F_346","T_006","MCC_019","2025-12-03","Kiruhura",70,54,54,5,0,0,2,2,2,1,2,1,52,54,54,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,900,900,900,NA,NA,NA
"F_045","T_006","MCC_019","2025-12-03","Kiruhura",10,6,6,4,0,0,2,2,2,1,1,1,7,6,7,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,900,900,NA,NA,NA
"F_269","T_007","MCC_005","2025-12-05","Kazo",20,15,15,6,0,0,2,2,2,1,1,1,15,15,15,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,850,850,850,NA,NA,NA
"F_086","T_007","MCC_005","2025-12-05","Kazo",30,25,25,5,0,0,2,2,2,2,2,1,25,25,24,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,800,800,NA,NA,NA
"F_313","T_007","MCC_005","2025-12-05","Kazo",15,9,9,4,0,0,2,2,2,1,2,1,8,9,9,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,800,800,850,NA,NA,NA
"F_031","T_007","MCC_005","2025-12-05","Kazo",58,48,48,4,0,0,2,2,2,1,1,1,48,46,48,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,875,875,875,NA,NA,NA
"F_131","T_008","MCC_008","2025-12-03","Kiruhura",20,20,20,4,0,0,2,2,2,2,1,0,20,28,20,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer Alcohol Lactoscan","Lactometer Alcohol Lactoscan","Lactometer Alcohol",NA,NA,NA,900,900,900,NA,NA,NA
"F_196","T_008","MCC_008","2025-12-03","Kiruhura",150,140,140,5,0,0,2,2,2,1,1,0,80,140,100,NA,NA,NA,1,2,1,NA,NA,NA,"Lactometer",NA,"Lactometer",NA,NA,NA,900,900,900,NA,NA,NA
"F_076","T_008","MCC_008","2025-12-04","Kiruhura",28,20,10,4,0,0,2,2,2,2,2,0,10,15,20,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,900,900,NA,NA,NA
"F_377","T_008","MCC_008","2025-12-03","Kiruhura",43,35,35,5,0,0,2,2,2,1,1,0,30,35,40,NA,NA,NA,1,1,2,NA,NA,NA,"Lactometer","Lactometer",NA,NA,NA,NA,900,900,900,NA,NA,NA
"F_188","T_009","MCC_013","2025-12-05","Kazo",6,4,4,4,0,0,2,2,2,2,2,0,6,6,6,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,800,800,NA,NA,NA
